"Título de trazado: Estacion1"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, mm (LGR S/N: 21471862, SEN S/N: 21560958)"
1,03/08/23 08:10:42,0.00
2,03/08/23 08:15:42,0.00
3,03/08/23 08:20:42,0.00
4,03/08/23 08:25:42,0.00
5,03/08/23 08:30:42,0.00
6,03/08/23 08:35:42,0.00
7,03/08/23 08:40:42,0.00
8,03/08/23 08:45:42,2.40
9,03/08/23 08:50:42,0.00
10,03/08/23 08:55:42,0.00
11,03/08/23 09:00:42,0.00
12,03/08/23 09:05:42,0.00
13,03/08/23 09:10:42,0.00
14,03/08/23 09:15:42,0.00
15,03/08/23 09:20:42,0.00
16,03/08/23 09:25:42,0.00
17,03/08/23 09:30:42,0.00
18,03/08/23 09:35:42,0.00
19,03/08/23 09:40:42,0.00
20,03/08/23 09:45:42,0.00
21,03/08/23 09:50:42,0.00
22,03/08/23 09:55:42,0.00
23,03/08/23 10:00:42,0.00
24,03/08/23 10:05:42,0.00
25,03/08/23 10:10:42,0.00
26,03/08/23 10:15:42,0.00
27,03/08/23 10:20:42,0.00
28,03/08/23 10:25:42,0.00
29,03/08/23 10:30:42,0.00
30,03/08/23 10:35:42,0.00
31,03/08/23 10:40:42,0.00
32,03/08/23 10:45:42,0.00
33,03/08/23 10:50:42,0.00
34,03/08/23 10:55:42,0.00
35,03/08/23 11:00:42,0.00
36,03/08/23 11:05:42,0.00
37,03/08/23 11:10:42,0.00
38,03/08/23 11:15:42,0.00
39,03/08/23 11:20:42,0.00
40,03/08/23 11:25:42,0.00
41,03/08/23 11:30:42,0.00
42,03/08/23 11:35:42,0.00
43,03/08/23 11:40:42,0.00
44,03/08/23 11:45:42,0.00
45,03/08/23 11:50:42,0.00
46,03/08/23 11:55:42,0.00
47,03/08/23 12:00:42,0.00
48,03/08/23 12:05:42,0.00
49,03/08/23 12:10:42,0.00
50,03/08/23 12:15:42,0.00
51,03/08/23 12:20:42,0.00
52,03/08/23 12:25:42,0.00
53,03/08/23 12:30:42,0.00
54,03/08/23 12:35:42,0.00
55,03/08/23 12:40:42,0.00
56,03/08/23 12:45:42,0.00
57,03/08/23 12:50:42,0.00
58,03/08/23 12:55:42,0.00
59,03/08/23 13:00:42,0.00
60,03/08/23 13:05:42,0.00
61,03/08/23 13:10:42,0.00
62,03/08/23 13:15:42,0.00
63,03/08/23 13:20:42,0.00
64,03/08/23 13:25:42,0.00
65,03/08/23 13:30:42,0.00
66,03/08/23 13:35:42,0.00
67,03/08/23 13:40:42,0.00
68,03/08/23 13:45:42,0.00
69,03/08/23 13:50:42,0.00
70,03/08/23 13:55:42,0.00
71,03/08/23 14:00:42,0.00
72,03/08/23 14:05:42,0.00
73,03/08/23 14:10:42,0.00
74,03/08/23 14:15:42,0.00
75,03/08/23 14:20:42,0.00
76,03/08/23 14:25:42,0.00
77,03/08/23 14:30:42,0.00
78,03/08/23 14:35:42,0.00
79,03/08/23 14:40:42,0.00
80,03/08/23 14:45:42,0.00
81,03/08/23 14:50:42,0.00
82,03/08/23 14:55:42,0.00
83,03/08/23 15:00:42,0.00
84,03/08/23 15:05:42,0.00
85,03/08/23 15:10:42,0.00
86,03/08/23 15:15:42,0.00
87,03/08/23 15:20:42,0.00
88,03/08/23 15:25:42,0.00
89,03/08/23 15:30:42,0.00
90,03/08/23 15:35:42,0.00
91,03/08/23 15:40:42,0.00
