"Título de trazado: Asa_P01"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, mm (LGR S/N: 21471862, SEN S/N: 21560958)"
1,08/11/25 10:02:25 AM,0.20
2,08/11/25 10:07:25 AM,0.00
3,08/11/25 10:12:25 AM,0.00
4,08/11/25 10:17:25 AM,0.00
5,08/11/25 10:22:25 AM,0.00
6,08/11/25 10:27:25 AM,0.00
7,08/11/25 10:32:25 AM,0.00
8,08/11/25 10:37:25 AM,0.00
9,08/11/25 10:42:25 AM,0.00
10,08/11/25 10:47:25 AM,0.00
11,08/11/25 10:52:25 AM,0.00
12,08/11/25 10:57:25 AM,0.00
13,08/11/25 11:02:25 AM,0.00
14,08/11/25 11:07:25 AM,0.00
15,08/11/25 11:12:25 AM,0.00
16,08/11/25 11:17:25 AM,0.00
17,08/11/25 11:22:25 AM,0.00
18,08/11/25 11:27:25 AM,0.00
19,08/11/25 11:32:25 AM,0.00
20,08/11/25 11:37:25 AM,0.00
21,08/11/25 11:42:25 AM,0.00
22,08/11/25 11:47:25 AM,0.00
23,08/11/25 11:52:25 AM,0.00
24,08/11/25 11:57:25 AM,0.00
25,08/11/25 12:02:25 PM,0.00
26,08/11/25 12:07:25 PM,0.00
27,08/11/25 12:12:25 PM,0.00
28,08/11/25 12:17:25 PM,0.00
29,08/11/25 12:22:25 PM,0.00
30,08/11/25 12:27:25 PM,0.00
31,08/11/25 12:32:25 PM,0.00
32,08/11/25 12:37:25 PM,0.00
33,08/11/25 12:42:25 PM,0.00
34,08/11/25 12:47:25 PM,0.00
35,08/11/25 12:52:25 PM,0.00
36,08/11/25 12:57:25 PM,0.00
37,08/11/25 01:02:25 PM,0.00
38,08/11/25 01:07:25 PM,0.00
39,08/11/25 01:12:25 PM,0.00
40,08/11/25 01:17:25 PM,0.00
41,08/11/25 01:22:25 PM,0.00
42,08/11/25 01:27:25 PM,0.00
43,08/11/25 01:32:25 PM,0.00
44,08/11/25 01:37:25 PM,0.00
45,08/11/25 01:42:25 PM,0.00
46,08/11/25 01:47:25 PM,0.00
47,08/11/25 01:52:25 PM,0.00
48,08/11/25 01:57:25 PM,0.00
49,08/11/25 02:02:25 PM,0.00
50,08/11/25 02:07:25 PM,0.00
51,08/11/25 02:12:25 PM,0.00
52,08/11/25 02:17:25 PM,0.00
53,08/11/25 02:22:25 PM,0.00
54,08/11/25 02:27:25 PM,0.00
55,08/11/25 02:32:25 PM,0.00
56,08/11/25 02:37:25 PM,0.00
57,08/11/25 02:42:25 PM,0.00
58,08/11/25 02:47:25 PM,0.00
59,08/11/25 02:52:25 PM,0.00
60,08/11/25 02:57:25 PM,0.00
61,08/11/25 03:02:25 PM,0.00
62,08/11/25 03:07:25 PM,0.00
63,08/11/25 03:12:25 PM,0.00
64,08/11/25 03:17:25 PM,0.00
65,08/11/25 03:22:25 PM,0.00
66,08/11/25 03:27:25 PM,0.00
67,08/11/25 03:32:25 PM,0.00
68,08/11/25 03:37:25 PM,0.00
69,08/11/25 03:42:25 PM,0.00
70,08/11/25 03:47:25 PM,0.00
71,08/11/25 03:52:25 PM,0.00
72,08/11/25 03:57:25 PM,0.00
73,08/11/25 04:02:25 PM,0.00
74,08/11/25 04:07:25 PM,0.00
75,08/11/25 04:12:25 PM,0.00
76,08/11/25 04:17:25 PM,0.00
77,08/11/25 04:22:25 PM,0.00
78,08/11/25 04:27:25 PM,0.00
79,08/11/25 04:32:25 PM,0.00
80,08/11/25 04:37:25 PM,0.00
81,08/11/25 04:42:25 PM,0.00
82,08/11/25 04:47:25 PM,0.00
83,08/11/25 04:52:25 PM,0.00
84,08/11/25 04:57:25 PM,0.00
85,08/11/25 05:02:25 PM,0.00
86,08/11/25 05:07:25 PM,0.00
87,08/11/25 05:12:25 PM,0.00
88,08/11/25 05:17:25 PM,0.00
89,08/11/25 05:22:25 PM,0.00
90,08/11/25 05:27:25 PM,0.00
91,08/11/25 05:32:25 PM,0.00
92,08/11/25 05:37:25 PM,0.00
93,08/11/25 05:42:25 PM,0.00
94,08/11/25 05:47:25 PM,0.00
95,08/11/25 05:52:25 PM,0.00
96,08/11/25 05:57:25 PM,0.00
97,08/11/25 06:02:25 PM,0.00
98,08/11/25 06:07:25 PM,0.00
99,08/11/25 06:12:25 PM,0.00
100,08/11/25 06:17:25 PM,0.00
101,08/11/25 06:22:25 PM,0.00
102,08/11/25 06:27:25 PM,0.00
103,08/11/25 06:32:25 PM,0.00
104,08/11/25 06:37:25 PM,0.00
105,08/11/25 06:42:25 PM,0.00
106,08/11/25 06:47:25 PM,0.00
107,08/11/25 06:52:25 PM,0.00
108,08/11/25 06:57:25 PM,0.00
109,08/11/25 07:02:25 PM,0.00
110,08/11/25 07:07:25 PM,0.00
111,08/11/25 07:12:25 PM,0.00
112,08/11/25 07:17:25 PM,0.00
113,08/11/25 07:22:25 PM,0.00
114,08/11/25 07:27:25 PM,0.00
115,08/11/25 07:32:25 PM,0.00
116,08/11/25 07:37:25 PM,0.00
117,08/11/25 07:42:25 PM,0.00
118,08/11/25 07:47:25 PM,0.00
119,08/11/25 07:52:25 PM,0.00
120,08/11/25 07:57:25 PM,0.00
121,08/11/25 08:02:25 PM,0.00
122,08/11/25 08:07:25 PM,0.00
123,08/11/25 08:12:25 PM,0.00
124,08/11/25 08:17:25 PM,0.00
125,08/11/25 08:22:25 PM,0.00
126,08/11/25 08:27:25 PM,0.00
127,08/11/25 08:32:25 PM,0.00
128,08/11/25 08:37:25 PM,0.00
129,08/11/25 08:42:25 PM,0.00
130,08/11/25 08:47:25 PM,0.00
131,08/11/25 08:52:25 PM,0.00
132,08/11/25 08:57:25 PM,0.00
133,08/11/25 09:02:25 PM,0.00
134,08/11/25 09:07:25 PM,0.00
135,08/11/25 09:12:25 PM,0.00
136,08/11/25 09:17:25 PM,0.00
137,08/11/25 09:22:25 PM,0.00
138,08/11/25 09:27:25 PM,0.00
139,08/11/25 09:32:25 PM,0.00
140,08/11/25 09:37:25 PM,0.00
141,08/11/25 09:42:25 PM,0.00
142,08/11/25 09:47:25 PM,0.00
143,08/11/25 09:52:25 PM,0.00
144,08/11/25 09:57:25 PM,0.00
145,08/11/25 10:02:25 PM,0.00
146,08/11/25 10:07:25 PM,0.00
147,08/11/25 10:12:25 PM,0.00
148,08/11/25 10:17:25 PM,0.00
149,08/11/25 10:22:25 PM,0.00
150,08/11/25 10:27:25 PM,0.00
151,08/11/25 10:32:25 PM,0.00
152,08/11/25 10:37:25 PM,0.00
153,08/11/25 10:42:25 PM,0.00
154,08/11/25 10:47:25 PM,0.00
155,08/11/25 10:52:25 PM,0.00
156,08/11/25 10:57:25 PM,0.00
157,08/11/25 11:02:25 PM,0.00
158,08/11/25 11:07:25 PM,0.00
159,08/11/25 11:12:25 PM,0.00
160,08/11/25 11:17:25 PM,0.00
161,08/11/25 11:22:25 PM,0.00
162,08/11/25 11:27:25 PM,0.00
163,08/11/25 11:32:25 PM,0.00
164,08/11/25 11:37:25 PM,0.00
165,08/11/25 11:42:25 PM,0.00
166,08/11/25 11:47:25 PM,0.00
167,08/11/25 11:52:25 PM,0.00
168,08/11/25 11:57:25 PM,0.00
169,08/12/25 12:02:25 AM,0.00
170,08/12/25 12:07:25 AM,0.00
171,08/12/25 12:12:25 AM,0.00
172,08/12/25 12:17:25 AM,0.00
173,08/12/25 12:22:25 AM,0.00
174,08/12/25 12:27:25 AM,0.00
175,08/12/25 12:32:25 AM,0.00
176,08/12/25 12:37:25 AM,0.00
177,08/12/25 12:42:25 AM,0.00
178,08/12/25 12:47:25 AM,0.00
179,08/12/25 12:52:25 AM,0.00
180,08/12/25 12:57:25 AM,0.00
181,08/12/25 01:02:25 AM,0.00
182,08/12/25 01:07:25 AM,0.00
183,08/12/25 01:12:25 AM,0.00
184,08/12/25 01:17:25 AM,0.00
185,08/12/25 01:22:25 AM,0.00
186,08/12/25 01:27:25 AM,0.00
187,08/12/25 01:32:25 AM,0.00
188,08/12/25 01:37:25 AM,0.00
189,08/12/25 01:42:25 AM,0.00
190,08/12/25 01:47:25 AM,0.00
191,08/12/25 01:52:25 AM,0.00
192,08/12/25 01:57:25 AM,0.00
193,08/12/25 02:02:25 AM,0.00
194,08/12/25 02:07:25 AM,0.00
195,08/12/25 02:12:25 AM,0.00
196,08/12/25 02:17:25 AM,0.00
197,08/12/25 02:22:25 AM,0.00
198,08/12/25 02:27:25 AM,0.00
199,08/12/25 02:32:25 AM,0.00
200,08/12/25 02:37:25 AM,0.00
201,08/12/25 02:42:25 AM,0.00
202,08/12/25 02:47:25 AM,0.00
203,08/12/25 02:52:25 AM,0.00
204,08/12/25 02:57:25 AM,0.00
205,08/12/25 03:02:25 AM,0.00
206,08/12/25 03:07:25 AM,0.00
207,08/12/25 03:12:25 AM,0.00
208,08/12/25 03:17:25 AM,0.00
209,08/12/25 03:22:25 AM,0.00
210,08/12/25 03:27:25 AM,0.00
211,08/12/25 03:32:25 AM,0.00
212,08/12/25 03:37:25 AM,0.00
213,08/12/25 03:42:25 AM,0.00
214,08/12/25 03:47:25 AM,0.00
215,08/12/25 03:52:25 AM,0.00
216,08/12/25 03:57:25 AM,0.00
217,08/12/25 04:02:25 AM,0.00
218,08/12/25 04:07:25 AM,0.00
219,08/12/25 04:12:25 AM,0.00
220,08/12/25 04:17:25 AM,0.00
221,08/12/25 04:22:25 AM,0.00
222,08/12/25 04:27:25 AM,0.00
223,08/12/25 04:32:25 AM,0.00
224,08/12/25 04:37:25 AM,0.00
225,08/12/25 04:42:25 AM,0.00
226,08/12/25 04:47:25 AM,0.00
227,08/12/25 04:52:25 AM,0.00
228,08/12/25 04:57:25 AM,0.00
229,08/12/25 05:02:25 AM,0.00
230,08/12/25 05:07:25 AM,0.00
231,08/12/25 05:12:25 AM,0.00
232,08/12/25 05:17:25 AM,0.00
233,08/12/25 05:22:25 AM,0.00
234,08/12/25 05:27:25 AM,0.00
235,08/12/25 05:32:25 AM,0.00
236,08/12/25 05:37:25 AM,0.00
237,08/12/25 05:42:25 AM,0.00
238,08/12/25 05:47:25 AM,0.00
239,08/12/25 05:52:25 AM,0.00
240,08/12/25 05:57:25 AM,0.00
241,08/12/25 06:02:25 AM,0.00
242,08/12/25 06:07:25 AM,0.00
243,08/12/25 06:12:25 AM,0.00
244,08/12/25 06:17:25 AM,0.00
245,08/12/25 06:22:25 AM,0.00
246,08/12/25 06:27:25 AM,0.00
247,08/12/25 06:32:25 AM,0.00
248,08/12/25 06:37:25 AM,0.00
249,08/12/25 06:42:25 AM,0.00
250,08/12/25 06:47:25 AM,0.00
251,08/12/25 06:52:25 AM,0.00
252,08/12/25 06:57:25 AM,0.00
253,08/12/25 07:02:25 AM,0.00
254,08/12/25 07:07:25 AM,0.00
255,08/12/25 07:12:25 AM,0.00
256,08/12/25 07:17:25 AM,0.00
257,08/12/25 07:22:25 AM,0.00
258,08/12/25 07:27:25 AM,0.00
259,08/12/25 07:32:25 AM,0.00
260,08/12/25 07:37:25 AM,0.00
261,08/12/25 07:42:25 AM,0.00
262,08/12/25 07:47:25 AM,0.00
263,08/12/25 07:52:25 AM,0.00
264,08/12/25 07:57:25 AM,0.00
265,08/12/25 08:02:25 AM,0.00
266,08/12/25 08:07:25 AM,0.00
267,08/12/25 08:12:25 AM,0.00
268,08/12/25 08:17:25 AM,0.00
269,08/12/25 08:22:25 AM,0.00
270,08/12/25 08:27:25 AM,0.00
271,08/12/25 08:32:25 AM,0.00
272,08/12/25 08:37:25 AM,0.00
273,08/12/25 08:42:25 AM,0.00
274,08/12/25 08:47:25 AM,0.00
275,08/12/25 08:52:25 AM,0.00
276,08/12/25 08:57:25 AM,0.00
277,08/12/25 09:02:25 AM,0.00
278,08/12/25 09:07:25 AM,0.00
279,08/12/25 09:12:25 AM,0.00
280,08/12/25 09:17:25 AM,0.00
281,08/12/25 09:22:25 AM,0.00
282,08/12/25 09:27:25 AM,0.00
283,08/12/25 09:32:25 AM,0.00
284,08/12/25 09:37:25 AM,0.00
285,08/12/25 09:42:25 AM,0.00
