"Título de trazado: P02"
"N.º","Fecha Tiempo, GMT-05:00","Temp, °C (LGR S/N: 22003743, SEN S/N: 22003743)","Lluvia, mm (LGR S/N: 22003743, SEN S/N: 22003743)","Total acumulativo: Lluvia, mm (LGR S/N: 22003743)","Host conectado (LGR S/N: 22003743)","Acoplador separado (LGR S/N: 22003743)","Batería mala (LGR S/N: 22003743)","Acoplador adjunto (LGR S/N: 22003743)","Final de archivo (LGR S/N: 22003743)"
1,08/21/25 12:00:00 AM,,,0.0,,,,,
2,08/21/25 01:08:30 PM,9.571,0.0,,,,,,
3,08/21/25 01:13:11 PM,,,,Registrado,,,,
4,08/21/25 01:13:30 PM,9.571,,,,,,,
5,08/21/25 01:16:16 PM,,,,Registrado,,,,
6,08/21/25 01:18:30 PM,8.978,,,,,,,
7,08/21/25 01:19:04 PM,,,,,Registrado,,,
8,08/21/25 01:23:30 PM,8.182,,,,,,,
9,08/21/25 01:28:30 PM,7.381,,,,,,,
10,08/21/25 01:33:30 PM,6.573,,,,,,,
11,08/21/25 01:38:30 PM,6.573,,,,,,,
12,08/21/25 01:43:30 PM,6.877,,,,,,,
13,08/21/25 01:48:30 PM,6.471,,,,,,,
14,08/21/25 01:53:30 PM,6.877,,,,,,,
15,08/21/25 01:58:30 PM,6.775,,,,,,,
16,08/21/25 02:03:30 PM,6.674,,,,,,,
17,08/21/25 02:08:30 PM,6.775,,,,,,,
18,08/21/25 02:13:30 PM,6.573,,,,,,,
19,08/21/25 02:18:30 PM,6.674,,,,,,,
20,08/21/25 02:23:30 PM,6.370,,,,,,,
21,08/21/25 02:28:30 PM,6.978,,,,,,,
22,08/21/25 02:33:30 PM,7.079,,,,,,,
23,08/21/25 02:38:30 PM,6.268,,,,,,,
24,08/21/25 02:43:30 PM,6.166,,,,,,,
25,08/21/25 02:48:30 PM,6.370,,,,,,,
26,08/21/25 02:53:30 PM,6.268,,,,,,,
27,08/21/25 02:58:30 PM,6.064,,,,,,,
28,08/21/25 03:03:30 PM,5.962,,,,,,,
29,08/21/25 03:08:30 PM,5.962,,,,,,,
30,08/21/25 03:13:30 PM,5.552,,,,,,,
31,08/21/25 03:18:30 PM,5.552,,,,,,,
32,08/21/25 03:23:30 PM,5.655,,,,,,,
33,08/21/25 03:28:30 PM,5.347,,,,,,,
34,08/21/25 03:33:30 PM,5.141,,,,,,,
35,08/21/25 03:38:30 PM,5.244,,,,,,,
36,08/21/25 03:43:30 PM,5.244,,,,,,,
37,08/21/25 03:48:30 PM,4.831,,,,,,,
38,08/21/25 03:53:30 PM,4.934,,,,,,,
39,08/21/25 03:58:30 PM,5.141,,,,,,,
40,08/21/25 04:03:30 PM,5.141,,,,,,,
41,08/21/25 04:08:30 PM,4.831,,,,,,,
42,08/21/25 04:13:30 PM,4.623,,,,,,,
43,08/21/25 04:18:30 PM,4.519,,,,,,,
44,08/21/25 04:23:30 PM,4.207,,,,,,,
45,08/21/25 04:28:30 PM,3.893,,,,,,,
46,08/21/25 04:33:30 PM,3.472,,,,,,,
47,08/21/25 04:38:30 PM,3.472,,,,,,,
48,08/21/25 04:43:30 PM,3.367,,,,,,,
