"Título de trazado: ASA_01_SO_01"
"N.º","Fecha Tiempo, GMT-05:00","Pres abs, psi (LGR S/N: 22034869, SEN S/N: 22034869)","Temp, °F (LGR S/N: 22034869, SEN S/N: 22034869)","Pres abs Barom., psi (LGR S/N: 21981564, SEN S/N: 21981564)","Profundidad de sensor, pies (LGR S/N: 22034869)","Acoplador separado (LGR S/N: 22034869)","Acoplador adjunto (LGR S/N: 22034869)","Host conectado (LGR S/N: 22034869)","Final de archivo (LGR S/N: 22034869)"
1,09/28/25 11:50:00 AM,8.3835,55.189,8.3604,0.053,Registrado,,,
2,09/28/25 11:55:00 AM,8.3833,56.057,8.3661,0.040,,,,
3,09/28/25 12:00:00 PM,8.4286,48.517,8.3632,0.151,,,,
4,09/28/25 12:05:00 PM,8.3732,46.369,8.3575,0.036,,,,
5,09/28/25 12:05:34 PM,,,,,,Registrado,Registrado,
6,09/28/25 12:06:02 PM,,,,,,,Registrado,
7,09/28/25 12:06:14 PM,,,,,Registrado,,,
8,09/28/25 12:06:15 PM,,,,,,Registrado,Registrado,
9,09/28/25 12:06:23 PM,,,,,,,Registrado,
10,09/28/25 12:06:38 PM,,,,,,,Registrado,
11,09/28/25 12:06:59 PM,,,,,,,Registrado,
12,09/28/25 12:07:28 PM,,,,,Registrado,,,
13,09/28/25 12:07:31 PM,,,,,,Registrado,Registrado,
14,09/28/25 12:07:46 PM,,,,,,,Registrado,
15,09/28/25 12:08:04 PM,,,,,Registrado,,,
16,09/28/25 12:08:10 PM,,,,,,Registrado,Registrado,
17,09/28/25 12:09:14 PM,,,,,Registrado,,,
18,09/28/25 12:10:00 PM,8.4039,55.884,8.3579,0.106,,,,
19,09/28/25 12:15:00 PM,8.4534,47.446,8.3645,0.205,,,,
20,09/28/25 12:20:00 PM,8.4426,44.742,8.3622,0.186,,,,
21,09/28/25 12:25:00 PM,8.4367,43.648,8.3623,0.172,,,,
22,09/28/25 12:30:00 PM,8.4344,42.915,8.3604,0.171,,,,
23,09/28/25 12:35:00 PM,8.4302,42.363,8.3565,0.170,,,,
24,09/28/25 12:40:00 PM,8.4312,41.994,8.3591,0.166,,,,
25,09/28/25 12:45:00 PM,8.4323,41.625,8.3550,0.178,,,,
26,09/28/25 12:50:00 PM,8.4316,41.439,8.3542,0.179,,,,
27,09/28/25 12:55:00 PM,8.4310,41.254,8.3550,0.175,,,,
28,09/28/25 01:00:00 PM,8.4328,41.067,8.3533,0.183,,,,
29,09/28/25 01:05:00 PM,8.4274,40.881,8.3466,0.186,,,,
30,09/28/25 01:10:00 PM,8.4292,40.696,8.3500,0.183,,,,
31,09/28/25 01:15:00 PM,8.4338,40.696,8.3500,0.193,,,,
32,09/28/25 01:20:00 PM,8.4338,40.696,8.3517,0.189,,,,
33,09/28/25 01:25:00 PM,8.4331,40.509,8.3524,0.186,,,,
34,09/28/25 01:30:00 PM,8.4331,40.509,8.3517,0.188,,,,
35,09/28/25 01:35:00 PM,8.4308,40.509,8.3517,0.182,,,,
36,09/28/25 01:40:00 PM,8.4302,40.321,8.3491,0.187,,,,
37,09/28/25 01:45:00 PM,8.4325,40.321,8.3526,0.184,,,,
38,09/28/25 01:50:00 PM,8.4302,40.321,8.3500,0.185,,,,
39,09/28/25 01:55:00 PM,8.4302,40.321,8.3517,0.181,,,,
40,09/28/25 02:00:00 PM,8.4325,40.321,8.3508,0.188,,,,
41,09/28/25 02:05:00 PM,8.4325,40.321,8.3517,0.186,,,,
42,09/28/25 02:10:00 PM,8.4302,40.321,8.3526,0.179,,,,
43,09/28/25 02:15:00 PM,8.4302,40.321,8.3500,0.185,,,,
44,09/28/25 02:20:00 PM,8.4302,40.321,8.3500,0.185,,,,
