"Date Time, GMT-05:00","Temp, °C","Lluvia, mm","Total acumulativo: Lluvia, mm","Coupler Detached","Coupler Attached","Host Connected","End Of File"
2024/12/17 00:00:00,,,4.2,,,,
2024/12/17 11:06:29,14.134,0.0,,,,,
2024/12/17 11:06:44,,,,Logged,,,
2024/12/17 11:11:29,12.883,,,,,,
2024/12/17 11:14:49,,0.2,,,,,
2024/12/17 11:14:53,,0.4,,,,,
2024/12/17 11:15:01,,0.6,,,,,
2024/12/17 11:15:08,,0.8,,,,,
2024/12/17 11:15:16,,1.0,,,,,
2024/12/17 11:15:32,,1.2,,,,,
2024/12/17 11:16:13,,1.4,,,,,
2024/12/17 11:16:29,10.748,,,,,,
2024/12/17 11:21:29,9.866,,,,,,
2024/12/17 11:25:59,,1.6,,,,,
2024/12/17 11:26:29,9.472,,,,,,
2024/12/17 11:27:21,,1.8,,,,,
2024/12/17 11:27:58,,2.0,,,,,
2024/12/17 11:28:22,,2.2,,,,,
2024/12/17 11:31:29,9.077,,,,,,
2024/12/17 11:36:29,7.983,,,,,,
2024/12/17 11:41:29,6.978,,,,,,
2024/12/17 11:46:29,6.370,,,,,,
2024/12/17 11:51:29,6.268,,,,,,
2024/12/17 11:56:29,5.860,,,,,,
2024/12/17 12:01:29,5.552,,,,,,
2024/12/17 12:06:29,5.552,,,,,,
2024/12/17 12:11:29,5.655,,,,,,
2024/12/17 12:16:29,5.655,,,,,,
2024/12/17 12:21:29,5.347,,,,,,
2024/12/17 12:26:29,5.347,,,,,,
2024/12/17 12:31:29,5.244,,,,,,
2024/12/17 12:36:29,4.727,,,,,,
2024/12/17 12:41:29,4.102,,,,,,
2024/12/17 12:46:29,3.367,,,,,,
2024/12/17 12:51:29,2.837,,,,,,
2024/12/17 12:56:29,2.730,,,,,,
2024/12/17 13:01:29,2.730,,,,,,
2024/12/17 13:06:29,2.624,,,,,,
2024/12/17 13:11:29,2.624,,,,,,
2024/12/17 13:16:29,2.624,,,,,,
2024/12/17 13:21:29,2.624,,,,,,
2024/12/17 13:26:29,2.303,,,,,,
2024/12/17 13:31:29,1.980,,,,,,
2024/12/17 13:36:29,1.764,,,,,,
2024/12/17 13:41:29,1.548,,,,,,
2024/12/17 13:46:29,1.439,,,,,,
2024/12/17 13:51:29,1.112,,,,,,
2024/12/17 13:56:29,0.893,,,,,,
2024/12/17 14:01:29,0.674,,,,,,
2024/12/17 14:06:29,0.674,,,,,,
2024/12/17 14:11:29,0.563,,,,,,
2024/12/17 14:16:29,0.563,,,,,,
2024/12/17 14:21:29,0.453,,,,,,
2024/12/17 14:26:29,0.343,,,,,,
2024/12/17 14:31:29,0.232,,,,,,
2024/12/17 14:36:29,0.232,,,,,,
2024/12/17 14:41:29,0.121,,,,,,
2024/12/17 14:46:29,0.121,,,,,,
2024/12/17 14:51:29,0.121,,,,,,
2024/12/17 14:56:29,0.232,,,,,,
2024/12/17 15:01:29,0.232,,,,,,
2024/12/17 15:06:29,0.010,,,,,,
2024/12/17 15:11:29,0.010,,,,,,
2024/12/17 15:16:29,0.121,,,,,,
2024/12/17 15:21:29,0.343,,,,,,
2024/12/17 15:26:29,0.563,,,,,,
2024/12/17 15:31:29,1.003,,,,,,
2024/12/17 15:34:48,,2.4,,,,,
2024/12/17 15:36:20,,2.6,,,,,
2024/12/17 15:36:29,1.003,,,,,,
2024/12/17 15:37:44,,2.8,,,,,
2024/12/17 15:38:50,,3.0,,,,,
2024/12/17 15:39:48,,3.2,,,,,
2024/12/17 15:41:08,,3.4,,,,,
2024/12/17 15:41:29,1.003,,,,,,
2024/12/17 15:42:09,,3.6,,,,,
2024/12/17 15:43:38,,3.8,,,,,
2024/12/17 15:45:18,,4.0,,,,,
2024/12/17 15:46:29,1.439,,,,,,
2024/12/17 15:48:05,,4.2,,,,,
2024/12/17 15:51:29,1.656,,,,,,
2024/12/17 15:56:29,1.764,,,,,,
2024/12/17 16:01:29,1.872,,,,,,
2024/12/17 16:06:29,2.088,,,,,,
2024/12/17 16:11:29,2.410,,,,,,
2024/12/17 16:16:29,2.730,,,,,,
2024/12/17 16:21:29,2.943,,,,,,
2024/12/17 16:26:29,3.155,,,,,,
2024/12/17 16:31:29,3.472,,,,,,
2024/12/17 16:36:29,3.683,,,,,,
2024/12/17 16:41:29,3.788,,,,,,
2024/12/17 16:46:29,3.893,,,,,,
2024/12/17 16:51:29,3.893,,,,,,
2024/12/17 16:56:29,3.893,,,,,,
2024/12/17 17:01:29,3.788,,,,,,
2024/12/17 17:06:29,3.893,,,,,,
2024/12/17 17:11:29,3.893,,,,,,
2024/12/17 17:16:29,3.998,,,,,,
2024/12/17 17:21:29,3.893,,,,,,
2024/12/17 17:26:29,3.788,,,,,,
2024/12/17 17:31:29,3.788,,,,,,
2024/12/17 17:36:29,3.683,,,,,,
2024/12/17 17:41:29,3.578,,,,,,
2024/12/17 17:46:29,3.578,,,,,,
2024/12/17 17:51:29,3.578,,,,,,
2024/12/17 17:56:29,3.472,,,,,,
2024/12/17 18:01:29,3.367,,,,,,
2024/12/17 18:06:29,3.261,,,,,,
2024/12/17 18:11:29,3.155,,,,,,
2024/12/17 18:16:29,3.049,,,,,,
2024/12/17 18:21:29,2.943,,,,,,
2024/12/17 18:26:29,2.837,,,,,,
2024/12/17 18:31:29,2.730,,,,,,
2024/12/17 18:36:29,2.624,,,,,,
2024/12/17 18:41:29,2.624,,,,,,
2024/12/17 18:46:29,2.624,,,,,,
2024/12/17 18:51:29,2.517,,,,,,
2024/12/17 18:56:29,2.517,,,,,,
2024/12/17 19:01:29,2.624,,,,,,
2024/12/17 19:06:29,2.730,,,,,,
2024/12/17 19:11:29,2.730,,,,,,
2024/12/17 19:16:29,2.624,,,,,,
2024/12/17 19:21:29,2.624,,,,,,
2024/12/17 19:26:29,2.730,,,,,,
2024/12/17 19:31:29,2.837,,,,,,
2024/12/17 19:36:29,2.730,,,,,,
2024/12/17 19:41:29,2.730,,,,,,
2024/12/17 19:46:29,2.624,,,,,,
2024/12/17 19:51:29,2.517,,,,,,
2024/12/17 19:56:29,2.517,,,,,,
2024/12/17 20:01:29,2.410,,,,,,
2024/12/17 20:06:29,2.303,,,,,,
2024/12/17 20:11:29,2.088,,,,,,
2024/12/17 20:16:29,1.980,,,,,,
2024/12/17 20:21:29,1.764,,,,,,
2024/12/17 20:26:29,1.764,,,,,,
2024/12/17 20:31:29,1.764,,,,,,
2024/12/17 20:36:29,1.656,,,,,,
2024/12/17 20:41:29,1.656,,,,,,
2024/12/17 20:46:29,1.656,,,,,,
2024/12/17 20:51:29,1.764,,,,,,
2024/12/17 20:56:29,1.872,,,,,,
2024/12/17 21:01:29,1.872,,,,,,
2024/12/17 21:06:29,1.764,,,,,,
2024/12/17 21:11:29,1.656,,,,,,
2024/12/17 21:16:29,1.548,,,,,,
2024/12/17 21:21:29,1.439,,,,,,
2024/12/17 21:26:29,1.439,,,,,,
2024/12/17 21:31:29,1.439,,,,,,
2024/12/17 21:36:29,1.439,,,,,,
2024/12/17 21:41:29,1.548,,,,,,
2024/12/17 21:46:29,1.548,,,,,,
2024/12/17 21:51:29,1.548,,,,,,
2024/12/17 21:56:29,1.656,,,,,,
2024/12/17 22:01:29,1.656,,,,,,
2024/12/17 22:06:29,1.764,,,,,,
2024/12/17 22:11:29,1.764,,,,,,
2024/12/17 22:16:29,1.872,,,,,,
2024/12/17 22:21:29,1.980,,,,,,
2024/12/17 22:26:29,2.088,,,,,,
2024/12/17 22:31:29,2.088,,,,,,
2024/12/17 22:36:29,2.088,,,,,,
2024/12/17 22:41:29,2.088,,,,,,
2024/12/17 22:46:29,1.980,,,,,,
2024/12/17 22:51:29,1.872,,,,,,
2024/12/17 22:56:29,1.548,,,,,,
2024/12/17 23:01:29,1.439,,,,,,
2024/12/17 23:06:29,1.221,,,,,,
2024/12/17 23:11:29,1.003,,,,,,
2024/12/17 23:16:29,0.893,,,,,,
2024/12/17 23:21:29,0.893,,,,,,
2024/12/17 23:26:29,0.893,,,,,,
2024/12/17 23:31:29,0.893,,,,,,
2024/12/17 23:36:29,0.893,,,,,,
2024/12/17 23:41:29,0.784,,,,,,
2024/12/17 23:46:29,0.784,,,,,,
2024/12/17 23:51:29,0.893,,,,,,
2024/12/17 23:56:29,0.784,,,,,,
2024/12/18 00:00:00,,,2.0,,,,
2024/12/18 00:01:29,0.563,,,,,,
2024/12/18 00:06:29,0.563,,,,,,
2024/12/18 00:11:29,0.674,,,,,,
2024/12/18 00:16:29,0.784,,,,,,
2024/12/18 00:21:29,0.784,,,,,,
2024/12/18 00:26:29,0.893,,,,,,
2024/12/18 00:31:29,0.893,,,,,,
2024/12/18 00:36:29,1.003,,,,,,
2024/12/18 00:41:29,1.221,,,,,,
2024/12/18 00:46:29,1.112,,,,,,
2024/12/18 00:51:29,1.003,,,,,,
2024/12/18 00:56:29,0.893,,,,,,
2024/12/18 01:01:29,0.893,,,,,,
2024/12/18 01:06:29,1.003,,,,,,
2024/12/18 01:11:29,1.003,,,,,,
2024/12/18 01:16:29,0.893,,,,,,
2024/12/18 01:21:29,0.893,,,,,,
2024/12/18 01:26:29,0.893,,,,,,
2024/12/18 01:31:29,1.112,,,,,,
2024/12/18 01:36:29,1.221,,,,,,
2024/12/18 01:41:29,1.221,,,,,,
2024/12/18 01:46:29,1.112,,,,,,
2024/12/18 01:51:29,1.003,,,,,,
2024/12/18 01:56:29,0.784,,,,,,
2024/12/18 02:01:29,0.674,,,,,,
2024/12/18 02:06:29,0.784,,,,,,
2024/12/18 02:11:29,0.674,,,,,,
2024/12/18 02:16:29,0.784,,,,,,
2024/12/18 02:21:29,0.784,,,,,,
2024/12/18 02:26:29,0.893,,,,,,
2024/12/18 02:31:29,1.003,,,,,,
2024/12/18 02:36:29,1.003,,,,,,
2024/12/18 02:41:29,0.893,,,,,,
2024/12/18 02:46:29,1.003,,,,,,
2024/12/18 02:51:29,0.893,,,,,,
2024/12/18 02:56:29,0.893,,,,,,
2024/12/18 03:01:29,0.784,,,,,,
2024/12/18 03:06:29,0.674,,,,,,
2024/12/18 03:11:29,0.893,,,,,,
2024/12/18 03:16:29,0.893,,,,,,
2024/12/18 03:21:29,0.563,,,,,,
2024/12/18 03:26:29,0.343,,,,,,
2024/12/18 03:31:29,0.343,,,,,,
2024/12/18 03:36:29,0.232,,,,,,
2024/12/18 03:41:29,0.121,,,,,,
2024/12/18 03:46:29,0.010,,,,,,
2024/12/18 03:51:29,0.010,,,,,,
2024/12/18 03:56:29,0.010,,,,,,
2024/12/18 04:01:29,0.121,,,,,,
2024/12/18 04:06:29,0.010,,,,,,
2024/12/18 04:11:29,0.010,,,,,,
2024/12/18 04:16:29,0.010,,,,,,
2024/12/18 04:21:29,0.010,,,,,,
2024/12/18 04:26:29,0.010,,,,,,
2024/12/18 04:31:29,0.121,,,,,,
2024/12/18 04:36:29,0.010,,,,,,
2024/12/18 04:41:29,-0.437,,,,,,
2024/12/18 04:46:29,-0.549,,,,,,
2024/12/18 04:51:29,-0.437,,,,,,
2024/12/18 04:56:29,-0.213,,,,,,
2024/12/18 05:01:29,-0.213,,,,,,
2024/12/18 05:06:29,-0.325,,,,,,
2024/12/18 05:11:29,-0.213,,,,,,
2024/12/18 05:16:29,-0.325,,,,,,
2024/12/18 05:21:29,-0.437,,,,,,
2024/12/18 05:26:29,-0.325,,,,,,
