"Título de trazado: Estacion1"
"N.º","Fecha Tiempo, GMT-05:00","Lluvia, mm (LGR S/N: 21471862, SEN S/N: 21560958)"
1,23/03/08 08:10:42,0.00
2,23/03/08 08:15:42,0.00
3,23/03/08 08:20:42,0.00
4,23/03/08 08:25:42,0.00
5,23/03/08 08:30:42,0.00
6,23/03/08 08:35:42,0.00
7,23/03/08 08:40:42,0.00
8,23/03/08 08:45:42,2.40
9,23/03/08 08:50:42,0.00
10,23/03/08 08:55:42,0.00
11,23/03/08 09:00:42,0.00
12,23/03/08 09:05:42,0.00
13,23/03/08 09:10:42,0.00
14,23/03/08 09:15:42,0.00
15,23/03/08 09:20:42,0.00
16,23/03/08 09:25:42,0.00
17,23/03/08 09:30:42,0.00
18,23/03/08 09:35:42,0.00
19,23/03/08 09:40:42,0.00
20,23/03/08 09:45:42,0.00
21,23/03/08 09:50:42,0.00
22,23/03/08 09:55:42,0.00
23,23/03/08 10:00:42,0.00
24,23/03/08 10:05:42,0.00
25,23/03/08 10:10:42,0.00
26,23/03/08 10:15:42,0.00
27,23/03/08 10:20:42,0.00
28,23/03/08 10:25:42,0.00
29,23/03/08 10:30:42,0.00
30,23/03/08 10:35:42,0.00
31,23/03/08 10:40:42,0.00
32,23/03/08 10:45:42,0.00
33,23/03/08 10:50:42,0.00
34,23/03/08 10:55:42,0.00
35,23/03/08 11:00:42,0.00
36,23/03/08 11:05:42,0.00
37,23/03/08 11:10:42,0.00
38,23/03/08 11:15:42,0.00
39,23/03/08 11:20:42,0.00
40,23/03/08 11:25:42,0.00
41,23/03/08 11:30:42,0.00
42,23/03/08 11:35:42,0.00
43,23/03/08 11:40:42,0.00
44,23/03/08 11:45:42,0.00
45,23/03/08 11:50:42,0.00
46,23/03/08 11:55:42,0.00
47,23/03/08 12:00:42,0.00
48,23/03/08 12:05:42,0.00
49,23/03/08 12:10:42,0.00
50,23/03/08 12:15:42,0.00
51,23/03/08 12:20:42,0.00
52,23/03/08 12:25:42,0.00
53,23/03/08 12:30:42,0.00
54,23/03/08 12:35:42,0.00
55,23/03/08 12:40:42,0.00
56,23/03/08 12:45:42,0.00
57,23/03/08 12:50:42,0.00
58,23/03/08 12:55:42,0.00
59,23/03/08 13:00:42,0.00
60,23/03/08 13:05:42,0.00
61,23/03/08 13:10:42,0.00
62,23/03/08 13:15:42,0.00
63,23/03/08 13:20:42,0.00
64,23/03/08 13:25:42,0.00
65,23/03/08 13:30:42,0.00
66,23/03/08 13:35:42,0.00
67,23/03/08 13:40:42,0.00
68,23/03/08 13:45:42,0.00
69,23/03/08 13:50:42,0.00
70,23/03/08 13:55:42,0.00
71,23/03/08 14:00:42,0.00
72,23/03/08 14:05:42,0.00
73,23/03/08 14:10:42,0.00
74,23/03/08 14:15:42,0.00
75,23/03/08 14:20:42,0.00
76,23/03/08 14:25:42,0.00
77,23/03/08 14:30:42,0.00
78,23/03/08 14:35:42,0.00
79,23/03/08 14:40:42,0.00
80,23/03/08 14:45:42,0.00
81,23/03/08 14:50:42,0.00
82,23/03/08 14:55:42,0.00
83,23/03/08 15:00:42,0.00
84,23/03/08 15:05:42,0.00
85,23/03/08 15:10:42,0.00
86,23/03/08 15:15:42,0.00
87,23/03/08 15:20:42,0.00
88,23/03/08 15:25:42,0.00
89,23/03/08 15:30:42,0.00
90,23/03/08 15:35:42,0.00
91,23/03/08 15:40:42,0.00
92,23/03/08 15:45:42,0.00
93,23/03/08 15:50:42,0.00
94,23/03/08 15:55:42,0.00
95,23/03/08 16:00:42,0.00
96,23/03/08 16:05:42,0.00
97,23/03/08 16:10:42,0.00
98,23/03/08 16:15:42,0.00
99,23/03/08 16:20:42,0.00
100,23/03/08 16:25:42,0.00
101,23/03/08 16:30:42,0.00
102,23/03/08 16:35:42,0.00
103,23/03/08 16:40:42,0.00
104,23/03/08 16:45:42,0.00
105,23/03/08 16:50:42,0.00
106,23/03/08 16:55:42,0.00
107,23/03/08 17:00:42,0.00
108,23/03/08 17:05:42,0.00
109,23/03/08 17:10:42,0.00
110,23/03/08 17:15:42,0.00
111,23/03/08 17:20:42,0.00
112,23/03/08 17:25:42,0.00
113,23/03/08 17:30:42,0.00
114,23/03/08 17:35:42,0.00
115,23/03/08 17:40:42,0.00
116,23/03/08 17:45:42,0.00
117,23/03/08 17:50:42,0.00
118,23/03/08 17:55:42,0.00
119,23/03/08 18:00:42,0.00
120,23/03/08 18:05:42,0.00
121,23/03/08 18:10:42,0.00
122,23/03/08 18:15:42,0.00
123,23/03/08 18:20:42,0.00
124,23/03/08 18:25:42,0.00
125,23/03/08 18:30:42,0.00
126,23/03/08 18:35:42,0.00
127,23/03/08 18:40:42,0.00
128,23/03/08 18:45:42,0.00
129,23/03/08 18:50:42,0.00
130,23/03/08 18:55:42,0.00
131,23/03/08 19:00:42,0.00
132,23/03/08 19:05:42,0.00
133,23/03/08 19:10:42,0.00
134,23/03/08 19:15:42,0.00
135,23/03/08 19:20:42,0.00
136,23/03/08 19:25:42,0.00
137,23/03/08 19:30:42,0.00
138,23/03/08 19:35:42,0.00
139,23/03/08 19:40:42,0.00
140,23/03/08 19:45:42,0.00
141,23/03/08 19:50:42,0.00
142,23/03/08 19:55:42,0.00
143,23/03/08 20:00:42,0.00
144,23/03/08 20:05:42,0.00
145,23/03/08 20:10:42,0.00
146,23/03/08 20:15:42,0.00
147,23/03/08 20:20:42,0.00
148,23/03/08 20:25:42,0.00
149,23/03/08 20:30:42,0.00
150,23/03/08 20:35:42,0.00
151,23/03/08 20:40:42,0.00
152,23/03/08 20:45:42,0.00
153,23/03/08 20:50:42,0.00
154,23/03/08 20:55:42,0.00
155,23/03/08 21:00:42,0.00
156,23/03/08 21:05:42,0.00
157,23/03/08 21:10:42,0.00
158,23/03/08 21:15:42,0.00
159,23/03/08 21:20:42,0.00
160,23/03/08 21:25:42,0.00
161,23/03/08 21:30:42,0.00
162,23/03/08 21:35:42,0.00
163,23/03/08 21:40:42,0.00
164,23/03/08 21:45:42,0.00
165,23/03/08 21:50:42,0.00
166,23/03/08 21:55:42,0.00
167,23/03/08 22:00:42,0.00
168,23/03/08 22:05:42,0.00
169,23/03/08 22:10:42,0.00
170,23/03/08 22:15:42,0.00
171,23/03/08 22:20:42,0.00
172,23/03/08 22:25:42,0.00
173,23/03/08 22:30:42,0.00
174,23/03/08 22:35:42,0.00
175,23/03/08 22:40:42,0.00
176,23/03/08 22:45:42,0.00
177,23/03/08 22:50:42,0.00
178,23/03/08 22:55:42,0.00
179,23/03/08 23:00:42,0.00
180,23/03/08 23:05:42,0.00
181,23/03/08 23:10:42,0.00
182,23/03/08 23:15:42,0.00
183,23/03/08 23:20:42,0.00
184,23/03/08 23:25:42,0.00
185,23/03/08 23:30:42,0.00
186,23/03/08 23:35:42,0.00
187,23/03/08 23:40:42,0.00
188,23/03/08 23:45:42,0.00
189,23/03/08 23:50:42,0.00
190,23/03/08 23:55:42,0.00
191,23/03/09 00:00:42,0.00
192,23/03/09 00:05:42,0.00
193,23/03/09 00:10:42,0.00
194,23/03/09 00:15:42,0.00
195,23/03/09 00:20:42,0.00
196,23/03/09 00:25:42,0.00
197,23/03/09 00:30:42,0.00
198,23/03/09 00:35:42,0.00
199,23/03/09 00:40:42,0.00
200,23/03/09 00:45:42,0.00
201,23/03/09 00:50:42,0.00
202,23/03/09 00:55:42,0.00
203,23/03/09 01:00:42,0.00
204,23/03/09 01:05:42,0.00
205,23/03/09 01:10:42,0.00
206,23/03/09 01:15:42,0.00
207,23/03/09 01:20:42,0.00
208,23/03/09 01:25:42,0.00
209,23/03/09 01:30:42,0.00
210,23/03/09 01:35:42,0.00
211,23/03/09 01:40:42,0.00
212,23/03/09 01:45:42,0.00
213,23/03/09 01:50:42,0.00
214,23/03/09 01:55:42,0.00
215,23/03/09 02:00:42,0.00
216,23/03/09 02:05:42,0.00
217,23/03/09 02:10:42,0.00
218,23/03/09 02:15:42,0.00
219,23/03/09 02:20:42,0.00
220,23/03/09 02:25:42,0.00
221,23/03/09 02:30:42,0.00
222,23/03/09 02:35:42,0.00
223,23/03/09 02:40:42,0.00
224,23/03/09 02:45:42,0.00
225,23/03/09 02:50:42,0.00
226,23/03/09 02:55:42,0.00
227,23/03/09 03:00:42,0.00
228,23/03/09 03:05:42,0.00
229,23/03/09 03:10:42,0.00
230,23/03/09 03:15:42,0.00
231,23/03/09 03:20:42,0.00
232,23/03/09 03:25:42,0.00
233,23/03/09 03:30:42,0.00
234,23/03/09 03:35:42,0.00
235,23/03/09 03:40:42,0.00
236,23/03/09 03:45:42,0.00
237,23/03/09 03:50:42,0.00
238,23/03/09 03:55:42,0.00
239,23/03/09 04:00:42,0.00
240,23/03/09 04:05:42,0.00
241,23/03/09 04:10:42,0.00
242,23/03/09 04:15:42,0.00
243,23/03/09 04:20:42,0.00
244,23/03/09 04:25:42,0.00
245,23/03/09 04:30:42,0.00
246,23/03/09 04:35:42,0.00
247,23/03/09 04:40:42,0.00
248,23/03/09 04:45:42,0.00
249,23/03/09 04:50:42,0.00
250,23/03/09 04:55:42,0.00
251,23/03/09 05:00:42,0.00
252,23/03/09 05:05:42,0.00
253,23/03/09 05:10:42,0.00
254,23/03/09 05:15:42,0.00
255,23/03/09 05:20:42,0.00
256,23/03/09 05:25:42,0.00
257,23/03/09 05:30:42,0.00
258,23/03/09 05:35:42,0.00
259,23/03/09 05:40:42,0.00
260,23/03/09 05:45:42,0.00
261,23/03/09 05:50:42,0.00
262,23/03/09 05:55:42,0.00
263,23/03/09 06:00:42,0.00
264,23/03/09 06:05:42,0.00
265,23/03/09 06:10:42,0.00
266,23/03/09 06:15:42,0.00
267,23/03/09 06:20:42,0.00
268,23/03/09 06:25:42,0.00
269,23/03/09 06:30:42,0.00
270,23/03/09 06:35:42,0.00
271,23/03/09 06:40:42,0.00
272,23/03/09 06:45:42,0.00
273,23/03/09 06:50:42,0.00
274,23/03/09 06:55:42,0.00
275,23/03/09 07:00:42,0.00
276,23/03/09 07:05:42,0.00
277,23/03/09 07:10:42,0.00
278,23/03/09 07:15:42,0.00
279,23/03/09 07:20:42,0.00
280,23/03/09 07:25:42,0.00
281,23/03/09 07:30:42,0.00
282,23/03/09 07:35:42,0.00
283,23/03/09 07:40:42,0.00
284,23/03/09 07:45:42,0.00
285,23/03/09 07:50:42,0.00
286,23/03/09 07:55:42,0.00
287,23/03/09 08:00:42,0.00
288,23/03/09 08:05:42,0.00
289,23/03/09 08:10:42,0.00
290,23/03/09 08:15:42,0.00
291,23/03/09 08:20:42,0.00
292,23/03/09 08:25:42,0.00
293,23/03/09 08:30:42,0.00
294,23/03/09 08:35:42,0.00
295,23/03/09 08:40:42,0.00
296,23/03/09 08:45:42,0.00
297,23/03/09 08:50:42,0.00
298,23/03/09 08:55:42,0.00
299,23/03/09 09:00:42,0.00
300,23/03/09 09:05:42,0.00
301,23/03/09 09:10:42,0.00
302,23/03/09 09:15:42,0.00
303,23/03/09 09:20:42,0.00
304,23/03/09 09:25:42,0.00
305,23/03/09 09:30:42,0.00
306,23/03/09 09:35:42,0.00
307,23/03/09 09:40:42,0.00
308,23/03/09 09:45:42,0.00
309,23/03/09 09:50:42,0.00
310,23/03/09 09:55:42,0.00
311,23/03/09 10:00:42,0.00
312,23/03/09 10:05:42,0.00
313,23/03/09 10:10:42,0.00
314,23/03/09 10:15:42,0.00
315,23/03/09 10:20:42,0.00
316,23/03/09 10:25:42,0.00
317,23/03/09 10:30:42,0.00
318,23/03/09 10:35:42,0.00
319,23/03/09 10:40:42,0.00
320,23/03/09 10:45:42,0.00
321,23/03/09 10:50:42,0.00
322,23/03/09 10:55:42,0.00
323,23/03/09 11:00:42,0.00
324,23/03/09 11:05:42,0.00
325,23/03/09 11:10:42,0.00
326,23/03/09 11:15:42,0.00
327,23/03/09 11:20:42,0.00
328,23/03/09 11:25:42,0.00
329,23/03/09 11:30:42,0.00
330,23/03/09 11:35:42,0.00
